DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
ACETAMINOPHEN 300 MGCODEINE 30 MG/12.5 ML (12.5 ML) ORAL SOLUTION [134259],5038307913 [273186],NDC,BOTH,12.5,ML,12.08,10.14
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY [104],5167221160 [280018],NDC,BOTH,1,EA ,5.25,4.41
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY [104],5167221162 [255934],NDC,BOTH,1,EA ,5.25,4.41
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY [104],5167221164 [255935],NDC,BOTH,1,EA ,3.94,3.31
ACETAMINOPHEN 325 MG TABLET [101],0045049660 [269912],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],0536116401 [316446],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],0536132701 [337921],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],0904677361 [314882],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],1013512301 [33462],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],3786400101 [228112],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],4934897310 [229575],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],4948334001 [291266],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],5058045811 [335132],NDC,BOTH,1,EA ,2.89,2.43
ACETAMINOPHEN 325 MG TABLET [101],5058049660 [55176],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],5058049698 [328665],NDC,BOTH,1,EA ,5.25,4.41
ACETAMINOPHEN 325 MG TABLET [101],5164570310 [121667],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],5789610201 [311853],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],5789610210 [314071],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],6373908702 [342298],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],6373944001 [184029],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG TABLET [101],6961801001 [283124],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLUTION [132106],0121131400 [295080],NDC,BOTH,10.15,ML,14.18,11.91
ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLUTION [132106],0121131411 [295081],NDC,BOTH,10.15,ML,14.18,11.91
ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLUTION [132106],0904673971 [314877],NDC,BOTH,10.15,ML,12.86,10.8
ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLUTION [132106],6668905501 [304025],NDC,BOTH,10.15,ML,16.8,14.11
ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLUTION [132106],6668905599 [304026],NDC,BOTH,10.15,ML,16.8,14.11
ACETAMINOPHEN 325 MG/10.15 ML ORAL SUSPENSION [88504],6809433059 [325345],NDC,BOTH,10.15,ML,7.88,6.62
ACETAMINOPHEN 325 MG/10.15 ML ORAL SUSPENSION [88504],6809433061 [325346],NDC,BOTH,10.15,ML,7.88,6.62
ACETAMINOPHEN 500 MG TABLET [102],00000000438 [285266],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],0045044909 [269887],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],0904672059 [310753],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],0904673060 [313357],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],0904673061 [308258],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],1013515201 [33572],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],1610337608 [155606],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],3786400103 [228114],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],5058044909 [55097],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],5058045711 [334848],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],5789620401 [309577],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 500 MG TABLET [102],6961801101 [283126],NDC,BOTH,1,EA ,1.58,1.32
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY [105],4580273000 [297516],NDC,BOTH,1,EA ,3.94,3.31
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY [105],4580273030 [48046],NDC,BOTH,1,EA ,4.46,3.75
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY [105],4580273032 [48047],NDC,BOTH,1,EA ,3.94,3.31
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY [105],4580273033 [48048],NDC,BOTH,1,EA ,2.89,2.43
ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY [8946],5167221140 [273538],NDC,BOTH,1,EA ,5.25,4.41
ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY [8946],5167221142 [255930],NDC,BOTH,1,EA ,5.25,4.41
ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY [8946],5167221144 [255931],NDC,BOTH,1,EA ,4.99,4.19
ACETAZOLAMIDE 125 MG TABLET [112],2315528701 [289644],NDC,BOTH,1,EA ,2.1,1.76
ACETAZOLAMIDE 125 MG TABLET [112],5167240221 [58540],NDC,BOTH,1,EA ,14.18,11.91
ACETAZOLAMIDE 125 MG TABLET [112],6438083306 [300146],NDC,BOTH,1,EA ,14.18,11.91
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114],2315531331 [345560],NDC,BOTH,1,EA ,249.11,209.25
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114],3982201901 [181925],NDC,BOTH,1,EA ,206.06,173.09
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114],6745785350 [309852],NDC,BOTH,1,EA ,250.95,210.8
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114],6745785350 [309852],NDC,BOTH,250,ME,250.95,210.8
ACETIC ACID 0.25 % IRRIGATION SOLUTION [8963],0338065604 [17165],NDC,BOTH,1000,ML,51.98,43.66
ACETIC ACID 2 % EAR SOLUTION [17801],5038388915 [188706],NDC,BOTH,15,ML,209.21,175.74
ACETIC ACID 2 % EAR SOLUTION [17801],5281781615 [329715],NDC,BOTH,15,ML,250.95,210.8
ACETIC ACID 2 % EAR SOLUTION [17801],6043274115 [85859],NDC,BOTH,15,ML,209.21,175.74
ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) INTRAOCULAR KIT [76641],2420853920 [210618],NDC,BOTH,1,EA ,516.6,433.94
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION [122],0409330703 [115937],NDC,BOTH,30,ML,94.76,79.6
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION [122],0517750425 [20582],NDC,BOTH,4,ML,67.2,56.45
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION [122],0517751003 [20583],NDC,BOTH,10,ML,81.9,68.8
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION [122],6332369310 [257021],NDC,BOTH,10,ML,94.76,79.6
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION [122],6332369504 [257022],NDC,BOTH,4,ML,79.8,67.03
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],00000000304 [285256],NDC,BOTH,3,ML,8.4,7.06
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],0574080530 [232762],NDC,BOTH,30,ML,775.43,651.36
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],2502181230 [308456],NDC,BOTH,30,ML,710.59,596.89
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],5515025930 [292004],NDC,BOTH,30,ML,1203.04,1010.55
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],6332396321 [310783],NDC,BOTH,30,ML,775.43,651.36
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],6332396330 [237319],NDC,BOTH,30,ML,775.43,651.36
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],7261186004 [351856],NDC,BOTH,100,ME,464.36,390.06
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],7261186004 [351856],NDC,BOTH,150,ME,464.36,390.06
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],7261186004 [351856],NDC,BOTH,30,ML,232.31,195.14
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303],7261186004 [351856],NDC,BOTH,50,ME,232.31,195.14
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION [123],0409330803 [120809],NDC,BOTH,30,ML,93.19,78.28
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION [123],0517760401 [321194],NDC,BOTH,4,ML,97.39,81.81
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION [123],0517760425 [20586],NDC,BOTH,4,ML,97.39,81.81
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION [123],6332369030 [231357],NDC,BOTH,30,ML,130.99,110.03
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION [123],6332369404 [252179],NDC,BOTH,4,ML,99.75,83.79
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION [123],7700576903 [289115],NDC,BOTH,30,ML,162.75,136.71
ACLIDINIUM BROMIDE 400 MCG/ACTUATION BREATH ACTIVATED POWDER INHALER [117077],0310080039 [284148],NDC,BOTH,1,EA ,1178.63,990.05
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION [129454],0574012108 [21637],NDC,BOTH,240,ML,154.35,129.65
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION [129454],0574012176 [21640],NDC,BOTH,240,ML,154.35,129.65
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION [129454],0574052108 [333884],NDC,BOTH,240,ML,154.35,129.65
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION [129454],0574052176 [335303],NDC,BOTH,240,ML,154.35,129.65
ACTIVATED CHARCOALSORBITOL 25 GRAM/120 ML ORAL SUSPENSION [129452],0574012004 [21632],NDC,BOTH,120,ML,108.41,91.07
ACTIVATED CHARCOALSORBITOL 25 GRAM/120 ML ORAL SUSPENSION [129452],0574012074 [21634],NDC,BOTH,120,ML,108.41,91.07
ACTIVATED CHARCOALSORBITOL 25 GRAM/120 ML ORAL SUSPENSION [129452],0574052074 [337925],NDC,BOTH,120,ML,108.41,91.07
ACTIVATED CHARCOALSORBITOL 50 GRAM/240 ML ORAL SUSPENSION [81428],0574012008 [21633],NDC,BOTH,240,ML,154.35,129.65
ACTIVATED CHARCOALSORBITOL 50 GRAM/240 ML ORAL SUSPENSION [81428],0574012076 [21635],NDC,BOTH,240,ML,154.35,129.65
ACTIVATED CHARCOALSORBITOL 50 GRAM/240 ML ORAL SUSPENSION [81428],0574052008 [337924],NDC,BOTH,240,ML,154.35,129.65
ACTIVATED CHARCOALSORBITOL 50 GRAM/240 ML ORAL SUSPENSION [81428],6668920308 [144026],NDC,BOTH,240,ML,212.1,178.16
ACYCLOVIR 200 MG CAPSULE [8969],0904578961 [137255],NDC,BOTH,1,EA ,9.98,8.38
ACYCLOVIR 200 MG CAPSULE [8969],6050500426 [131726],NDC,BOTH,1,EA ,6.56,5.51
ACYCLOVIR 200 MG CAPSULE [8969],6808410701 [252779],NDC,BOTH,1,EA ,8.66,7.28
ACYCLOVIR 200 MG CAPSULE [8969],7583412401 [299089],NDC,BOTH,1,EA ,2.63,2.21
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION [8970],5038381016 [121627],NDC,BOTH,473,ML,1536.15,1290.37
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION [8970],7700173605 [287706],NDC,BOTH,5,ML,30.71,25.8
ACYCLOVIR 5 % TOPICAL OINTMENT [8968],0378870006 [238665],NDC,BOTH,15,GM,1370.78,1151.45
ACYCLOVIR 5 % TOPICAL OINTMENT [8968],0591115930 [246951],NDC,BOTH,30,GM,2248.05,1888.36
ACYCLOVIR 5 % TOPICAL OINTMENT [8968],1366851501 [315029],NDC,BOTH,15,GM,1370.78,1151.45
ACYCLOVIR 5 % TOPICAL OINTMENT [8968],1671488501 [315054],NDC,BOTH,15,GM,1243.99,1044.95
ACYCLOVIR 5 % TOPICAL OINTMENT [8968],5107955067 [263671],NDC,BOTH,5,GM,554.14,465.48
ACYCLOVIR 5 % TOPICAL OINTMENT [8968],5107955068 [249195],NDC,BOTH,5,GM,554.14,465.48
ACYCLOVIR 5 % TOPICAL OINTMENT [8968],7257808201 [330111],NDC,BOTH,15,GM,1370.78,1151.45
ACYCLOVIR 800 MG TABLET [8972],3172277801 [247670],NDC,BOTH,1,EA ,27.56,23.15
ACYCLOVIR 800 MG TABLET [8972],5026806211 [272938],NDC,BOTH,1,EA ,27.56,23.15
ACYCLOVIR 800 MG TABLET [8972],5026806215 [272939],NDC,BOTH,1,EA ,27.56,23.15
ACYCLOVIR 800 MG TABLET [8972],6050553071 [131741],NDC,BOTH,1,EA ,27.56,23.15
ACYCLOVIR 800 MG TABLET [8972],6144211301 [190208],NDC,BOTH,1,EA ,23.89,20.07
ACYCLOVIR 800 MG TABLET [8972],6808410901 [252783],NDC,BOTH,1,EA ,29.66,24.92
ACYCLOVIR 800 MG TABLET [8972],6838279201 [275491],NDC,BOTH,1,EA ,23.89,20.07
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],5515015410 [250153],NDC,BOTH,10,ML,103.95,87.32
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],5515015410 [250153],NDC,BOTH,5,ME,67.73,56.89
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],5515015520 [250154],NDC,BOTH,20,ML,156.98,131.86
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],6332332503 [335166],NDC,BOTH,10,ML,146.74,123.26
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],6332332509 [335800],NDC,BOTH,20,ML,219.71,184.56
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],6332332510 [89834],NDC,BOTH,10,ML,146.74,123.26
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],6332332514 [257010],NDC,BOTH,10,ML,33.6,28.22
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],6332332520 [89835],NDC,BOTH,20,ML,219.71,184.56
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],6332332524 [257011],NDC,BOTH,20,ML,67.2,56.45
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128],6332332541 [344541],NDC,BOTH,10,ML,33.6,28.22
ACYCLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [8974],5539061210 [76359],NDC,BOTH,1,EA ,29.4,24.7
ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS SYRINGE KIT [34652],0074379902 [6477],NDC,BOTH,1,EA ,8505.53,7144.64
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION [15330],0409193202 [246864],NDC,BOTH,30,ML,541.8,455.11
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION [15330],0409193202 [246864],NDC,BOTH,60,ME,361.2,303.41
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION [15330],0409193202 [246864],NDC,BOTH,96,ME,577.76,485.32
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION [15330],0703877701 [238829],NDC,BOTH,30,ML,604.54,507.81
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION [15330],1747854430 [271174],NDC,BOTH,30,ML,788.29,662.16
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [38703],6332365100 [363676],NDC,BOTH,2,ML,85.58,71.88
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [38703],6332365102 [122780],NDC,BOTH,2,ML,85.58,71.88
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [38703],6745785500 [312138],NDC,BOTH,2,ML,48.83,41.01
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [38703],6745785502 [304054],NDC,BOTH,2,ML,48.83,41.01
ADENOSINE 3 MG/ML INTRAVENOUS SYRINGE [8975],2502130167 [247603],NDC,BOTH,2,ML,124.95,104.96
ADOTRASTUZUMAB EMTANSINE 100 MG INTRAVENOUS SOLUTION [120086],5024208801 [236545],NDC,BOTH,1,EA ,9390.41,7887.95
ADOTRASTUZUMAB EMTANSINE 160 MG INTRAVENOUS SOLUTION [120087],5024208701 [236544],NDC,BOTH,1,EA ,11102.18,9325.83
ADOTRASTUZUMAB EMTANSINE 160 MG INTRAVENOUS SOLUTION [120087],5024208701 [236544],NDC,BOTH,2.4,ME,10741.5,9022.86
AGALSIDASE BETA 35 MG INTRAVENOUS SOLUTION [35775],5846800401 [81644],NDC,BOTH,7,ML,13612.2,11434.25
AGALSIDASE BETA 5 MG INTRAVENOUS SOLUTION [38494],5846800411 [105756],NDC,BOTH,1,ME,44953.65,37761.07
AGALSIDASE BETA 5 MG INTRAVENOUS SOLUTION [38494],5846800411 [105756],NDC,BOTH,1,ML,3458.18,2904.87
AL HYDMG TRALG ACSOD BICARB 80 MG14.2 MG CHEWABLE TABLET [88365],0088117547 [8892],NDC,BOTH,1,EA ,1.58,1.32
AL HYDMG TRALG ACSOD BICARB 80 MG14.2 MG CHEWABLE TABLET [88365],0135009626 [145530],NDC,BOTH,1,EA ,1.58,1.32
ALBENDAZOLE 200 MG TABLET [8979],6909723772 [309937],NDC,BOTH,1,EA ,786.71,660.84
ALBENDAZOLE 200 MG TABLET [8979],7220505108 [336304],NDC,BOTH,1,EA ,786.71,660.84
ALBUTEROL SULFATE 1.25 MG/3 ML SOLUTION FOR NEBULIZATION [31578],0378699252 [185825],NDC,BOTH,3,ML,11.03,9.26
ALBUTEROL SULFATE 1.25 MG/3 ML SOLUTION FOR NEBULIZATION [31578],0378699298 [304802],NDC,BOTH,3,ML,11.03,9.26
